"id","year","week","team","pts_for","opponent","pts_against"
20050722,2005,7,"Sarge","107.36","Strand","101.34"
20050731,2005,7,"Ost","61.52","Frank","94.08"
20050732,2005,7,"Frank","94.08","Ost","61.52"
20050741,2005,7,"Gresh","115.98","Rades","99.5"
20050742,2005,7,"Rades","99.5","Gresh","115.98"
20050751,2005,7,"Benny","75.98","Ceej","56.78"
20050752,2005,7,"Ceej","56.78","Benny","75.98"
20050801,2005,8,"Lude","126.38","Gresh","101.5"
20050802,2005,8,"Gresh","101.5","Lude","126.38"
20050811,2005,8,"Winks","83.86","Faber","99.22"
20050812,2005,8,"Faber","99.22","Winks","83.86"
20050821,2005,8,"Strand","108.12","Schingen","72"
20050822,2005,8,"Schingen","72","Strand","108.12"
20050831,2005,8,"Ost","62.08","Sarge","49.34"
20050832,2005,8,"Sarge","49.34","Ost","62.08"
20050841,2005,8,"Frank","69.28","Ceej","97.1"
20050842,2005,8,"Ceej","97.1","Frank","69.28"
20050851,2005,8,"Benny","100.76","Rades","97.42"
20050852,2005,8,"Rades","97.42","Benny","100.76"
20050901,2005,9,"Lude","86.8","Benny","107.1"
20050902,2005,9,"Benny","107.1","Lude","86.8"
20050911,2005,9,"Winks","62.36","Gresh","55.46"
20050912,2005,9,"Gresh","55.46","Winks","62.36"
20050921,2005,9,"Strand","62.6","Faber","110.4"
20050922,2005,9,"Faber","110.4","Strand","62.6"
20050931,2005,9,"Ost","69.22","Schingen","72.58"
20050932,2005,9,"Schingen","72.58","Ost","69.22"
20050941,2005,9,"Frank","87.92","Sarge","83.64"
20050942,2005,9,"Sarge","83.64","Frank","87.92"
20050951,2005,9,"Rades","67.42","Ceej","102.36"
20050952,2005,9,"Ceej","102.36","Rades","67.42"
20051001,2005,10,"Lude","95.1","Rades","115.76"
20051002,2005,10,"Rades","115.76","Lude","95.1"
20051011,2005,10,"Winks","106.28","Benny","122.58"
20051012,2005,10,"Benny","122.58","Winks","106.28"
20051021,2005,10,"Strand","59.9","Gresh","119.86"
20051022,2005,10,"Gresh","119.86","Strand","59.9"
20051031,2005,10,"Ost","89.5","Faber","102.8"
20051032,2005,10,"Faber","102.8","Ost","89.5"
20051041,2005,10,"Frank","94.18","Schingen","71.2"
20051042,2005,10,"Schingen","71.2","Frank","94.18"
20051051,2005,10,"Sarge","86.72","Ceej","52.66"
20051052,2005,10,"Ceej","52.66","Sarge","86.72"
20051101,2005,11,"Lude","125.5","Ceej","70.1"
20051102,2005,11,"Ceej","70.1","Lude","125.5"
20051111,2005,11,"Winks","84.18","Rades","113.26"
20051112,2005,11,"Rades","113.26","Winks","84.18"
20051121,2005,11,"Strand","110.36","Benny","103.5"
20051122,2005,11,"Benny","103.5","Strand","110.36"
20051131,2005,11,"Ost","61.22","Gresh","68.24"
20051132,2005,11,"Gresh","68.24","Ost","61.22"
20051141,2005,11,"Frank","137.74","Faber","113.98"
20051142,2005,11,"Faber","113.98","Frank","137.74"
20051151,2005,11,"Sarge","71.62","Schingen","90.7"
20051152,2005,11,"Schingen","90.7","Sarge","71.62"
20051201,2005,12,"Lude","77.42","Winks","117.14"
20051202,2005,12,"Winks","117.14","Lude","77.42"
20051211,2005,12,"Strand","73.84","Rades","116.62"
20051212,2005,12,"Rades","116.62","Strand","73.84"
20051221,2005,12,"Ost","69.82","Benny","114.5"
20051222,2005,12,"Benny","114.5","Ost","69.82"
20051231,2005,12,"Frank","119.08","Gresh","92.74"
20051232,2005,12,"Gresh","92.74","Frank","119.08"
20051241,2005,12,"Sarge","95.46","Faber","103.42"
20051242,2005,12,"Faber","103.42","Sarge","95.46"
20051251,2005,12,"Schingen","89.08","Ceej","127.34"
20051252,2005,12,"Ceej","127.34","Schingen","89.08"
20051301,2005,13,"Lude","107.22","Strand","55.64"
20051302,2005,13,"Strand","55.64","Lude","107.22"
20051311,2005,13,"Winks","87.78","Ceej","50.96"
20051312,2005,13,"Ceej","50.96","Winks","87.78"
20051321,2005,13,"Ost","78.44","Rades","92.06"
20051322,2005,13,"Rades","92.06","Ost","78.44"
20051331,2005,13,"Frank","77.18","Benny","71.78"
20051332,2005,13,"Benny","71.78","Frank","77.18"
20051341,2005,13,"Sarge","103.38","Gresh","88.44"
20051342,2005,13,"Gresh","88.44","Sarge","103.38"
20051351,2005,13,"Schingen","67.64","Faber","77.44"
20051352,2005,13,"Faber","77.44","Schingen","67.64"
20060101,2006,1,"Lude","72.1","Sarge","118.84"
20060102,2006,1,"Sarge","118.84","Lude","72.1"
20060111,2006,1,"Ost","101.68","Gresh","98.22"
20060112,2006,1,"Gresh","98.22","Ost","101.68"
20060121,2006,1,"Winks","77.98","Faber","61.48"
20060122,2006,1,"Faber","61.48","Winks","77.98"
20060131,2006,1,"Ceej","88.56","Frank","83.74"
20060132,2006,1,"Frank","83.74","Ceej","88.56"
20060141,2006,1,"Benny","73.34","Strand","99.08"
20060142,2006,1,"Strand","99.08","Benny","73.34"
20060151,2006,1,"Rades","51.12","Schingen","88.84"
20060152,2006,1,"Schingen","88.84","Rades","51.12"
20060201,2006,2,"Lude","56.84","Ost","85.7"
20060202,2006,2,"Ost","85.7","Lude","56.84"
20060211,2006,2,"Sarge","107.9","Schingen","107.14"
20060212,2006,2,"Schingen","107.14","Sarge","107.9"
20060221,2006,2,"Winks","91.44","Gresh","78.92"
20060222,2006,2,"Gresh","78.92","Winks","91.44"
20060231,2006,2,"Ceej","105.6","Faber","68.3"
20060232,2006,2,"Faber","68.3","Ceej","105.6"
20060241,2006,2,"Benny","83.78","Frank","109.1"
20060242,2006,2,"Frank","109.1","Benny","83.78"
20060251,2006,2,"Rades","86.5","Strand","137.08"
20060252,2006,2,"Strand","137.08","Rades","86.5"
20060301,2006,3,"Lude","104.18","Winks","100.8"
20060302,2006,3,"Winks","100.8","Lude","104.18"
20060311,2006,3,"Sarge","85.9","Ost","106.32"
20060312,2006,3,"Ost","106.32","Sarge","85.9"
20060321,2006,3,"Ceej","95.94","Gresh","74.34"
20060322,2006,3,"Gresh","74.34","Ceej","95.94"
20060331,2006,3,"Benny","79.28","Faber","117.46"
20060332,2006,3,"Faber","117.46","Benny","79.28"
20060341,2006,3,"Rades","91.1","Frank","69.96"
20060342,2006,3,"Frank","69.96","Rades","91.1"
20060351,2006,3,"Strand","80.92","Schingen","86.44"
20060352,2006,3,"Schingen","86.44","Strand","80.92"
20060401,2006,4,"Lude","93.64","Ceej","104.82"
20060402,2006,4,"Ceej","104.82","Lude","93.64"
20060411,2006,4,"Sarge","75.96","Winks","69.92"
20060412,2006,4,"Winks","69.92","Sarge","75.96"
20060421,2006,4,"Ost","76.36","Schingen","65.92"
20060422,2006,4,"Schingen","65.92","Ost","76.36"
20060431,2006,4,"Benny","93.62","Gresh","97.4"
20060432,2006,4,"Gresh","97.4","Benny","93.62"
20060441,2006,4,"Rades","74.06","Faber","108.62"
20060442,2006,4,"Faber","108.62","Rades","74.06"
20060451,2006,4,"Strand","65.4","Frank","104.68"
20060452,2006,4,"Frank","104.68","Strand","65.4"
20060501,2006,5,"Lude","85.6","Benny","53.5"
20060502,2006,5,"Benny","53.5","Lude","85.6"
20060511,2006,5,"Sarge","84.12","Ceej","103.46"
20060512,2006,5,"Ceej","103.46","Sarge","84.12"
20060521,2006,5,"Ost","82.8","Winks","75.04"
20060522,2006,5,"Winks","75.04","Ost","82.8"
20060531,2006,5,"Rades","119.5","Gresh","59.24"
20060532,2006,5,"Gresh","59.24","Rades","119.5"
20060541,2006,5,"Strand","92.2","Faber","72.8"
20060542,2006,5,"Faber","72.8","Strand","92.2"
20060551,2006,5,"Frank","84.34","Schingen","99.78"
20060552,2006,5,"Schingen","99.78","Frank","84.34"
